rank,name,year,rating,genre,certificate,run_time,tagline,budget,box_office,casts,directors,writers,year_format,duration,decade,duration_category,name_upper_case
14,Inception,2010-01-01,8.8,"Action,Adventure,Sci-Fi",PG-13,2h 28m,Your mind is the scene of the crime,160000000,836848102,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,Tom Hardy,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,Pete Postlethwaite,Michael Caine,Lukas Haas,Tai-Li Lee,Claire Geare,Magnus Nolan,Taylor Geare,Johnathan Geare,Tohoru Masamune",Christopher Nolan,Christopher Nolan,2010,148.0,2010,Médio,INCEPTION
41,The Prestige,2006-01-01,8.5,"Drama,Mystery,Sci-Fi",PG-13,2h 10m,A Friendship That Became a Rivalry.,40000000,109676311,"Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,Piper Perabo,Rebecca Hall,Samantha Mahurin,David Bowie,Andy Serkis,Daniel Davis,Jim Piddock,Christopher Neame,Mark Ryan,Roger Rees,Jamie Harris,Monty Stuart,Ron Perkins,Ricky Jay",Christopher Nolan,"Jonathan Nolan,Christopher Nolan,Christopher Priest",2006,130.0,2000,Médio,THE PRESTIGE
